   #N       insertionSort            errorbar           mergeSort            errorbar           quickSort            errorbar           shellSort            errorbar
   16                  61             10.7572                  64                   0                  17             1.60177                  34              6.8076
   32                 246             28.8442                 160                   0                  40             2.25406                 116             19.3027
   64                 990             83.9963                 384                   0                  98              4.2474                 236              26.986
  128                3960             217.648                 896                   0                 242             6.17178                 520             41.6127
  256               15905             676.665                2048                   0                 582             9.69119                1274             79.5171
  512               63535             1912.12                4608                   0                1381             15.8726                2615             163.568
 1024              253269             5743.27               10240                   0                3220             33.4996                6443             354.454
 2048         1.01239e+06             16017.3               22528                   0                7407             52.5839               12553             823.449
 4096         4.06724e+06               42503               49152                   0               16793             106.517               25449              1475.8
 8192         1.62542e+07              127169              106496                   0               37665             195.476               58586             2690.64
